120MM.SHP	120mm Cannon shot
BLDG1.AUD	Unable To Comply Building In Progress
BLDGING1.AUD	Building
BLEEP2.AUD	Bleep 2
BLEEP2.JUV	Bleep 2
BOAT.SHP	Gunboat
BOATICNH.DES	ICON: Gunboat
BOATICNH.TEM	ICON: Gunboat
BOATICNH.WIN	ICON: Gunboat
BOATICON.SHP	ICON: Gunboat
BODYBAGS.VQA	Dead Bodies In Body Bags
BODYBAGS.VQP	Dead Bodies In Body Bags
BOMB.SHP	Grenade
BOMB1.AUD	Bomb
BOMB1.JUV	Bomb
BOMBAWAY.VQA	Planes Airstriking Base
BOMBAWAY.VQP	Planes Airstriking Base
BOMBFLEE.VQA	Running Away From Bombers
BOMBFLEE.VQP	Running Away From Bombers
BOMBICNH.DES	ICON: Air Strike
BOMBICNH.TEM	ICON: Air Strike
BOMBICNH.WIN	ICON: Air Strike
BOMBICON.SHP	ICON: Air Strike
BOMBIT1.AUD	Commando Present For Ya
BOMBLET.SHP	Bomblet
BOSNIA.WSA	ANIM: Zoom on Bosnia
BR1.DES	Bush 1
BR10.DES	Purple Squares
BR2.DES	Bush 2
BR3.DES	Cactus 1
BR4.DES	Cactus 2
BR5.DES	Purple Square
BR6.DES	Bushes 1
BR7.DES	Bushes 2
BR8.DES	Bushes 3
BR9.DES	Bushes 4
BRIDGE1.TEM	Bridge SW-NE
BRIDGE1.WIN	Bridge SW-NE
BRIDGE1D.TEM	Bridge SW-NE Destroyed
BRIDGE1D.WIN	Bridge SW-NE Destroyed
BRIDGE1X.TEM	Bridge SW-NE Connector
BRIDGE2.TEM	Bridge NW-SE
BRIDGE2.WIN	Bridge NW-SE
BRIDGE2D.TEM	Bridge NW-SE Destroyed
BRIDGE2D.WIN	Bridge NW-SE Destroyed
BRIDGE2X.TEM	Bridge NW-SE Connector
BRIDGE3.DES	Bridge SW-NE Desert
BRIDGE3D.DES	Bridge SW-NE Destroyed Desert
BRIDGE4.DES	Bridge NW-SE Desert
BRIDGE4D.DES	Bridge NW-SE Destroyed Desert
BRIEFING.AUD	???
BRIK.SHP	Concrete wall
BRIKICNH.DES	ICON: Concrete Wall
BRIKICNH.TEM	ICON: Concrete Wall
BRIKICNH.WIN	ICON: Concrete Wall
BRIKICON.SHP	ICON: Concrete wall
BTEXTURE.SHP	Background Textures
BTN-DN.SHP	BUTT: Down
BTN-PL.SHP	BUTT: Play
BTN-PLH.SHP	BUTT: Play
BTN-ST.SHP	BUTT: Stop
BTN-STH.SHP	BUTT: Stop
BTN-UP.SHP	BUTT: Up
BUILD5.AUD	Building being placed
BURDET1.VQA	Greg Burdette Reports 1
BURDET1.VQP	Greg Burdette Reports 1
BURDET2.VQA	Greg Burdette Reports 2
BURDET2.VQP	Greg Burdette Reports 2
BURN-L.SHP	Medium Fire For Trees
BURN-M.SHP	Small Fire For Trees
BURN-S.SHP	Small Fire For Trees
BUTTON.AUD	Button
BUTTON.JUV	Button
C1.SHP	Civilian #1
C10.SHP	Civilian #10
C17.SHP	Antonov Cargo Plane
C17ICON.SHP	ICON: Antonov Cargo Plane
C2.SHP	Civilian #2
C3.SHP	Civilian #3
C4.SHP	Civilian #4
C5.SHP	Civilian #5
C6.SHP	Civilian #6
C7.SHP	Civilian #7
C8.SHP	Civilian #8
C9.SHP	Civilian #9
CANCEL1.AUD	Canceled
CASHTURN.AUD	Selling
CC.COL	PAL: Setup Program Palette
CC2TEASE.VQA	C&C 2 Teaser
CC2TEASE.VQP	C&C 2 Teaser
CCELDATA.TXT	INF: Map tiles list
CCLOCAL.INF	INF: List For CCLOCAL.MIX
CCLOGO.VQP	???
CCM.COL	PAL: Setup Program Palette
CCSHAPES.SHP	CURS: Setup Mouse Cursors
CCTHANG.AUD	C&C Thang
CENTER.WSA	ANIM: Mouth Moving
CENTER1.WSA	ANIM: Center Mouth Moving
CENTER16.AUD	Center
CHAN.SHP	Chan
CHEM-E.SHP	Chem. Spray E
CHEM-N.SHP	Chem. Spray N
CHEM-NE.SHP	Chem. Spray NE
CHEM-NW.SHP	Chem. Spray NW
CHEM-S.SHP	Chem. Spray S
CHEM-SE.SHP	Chem. Spray SE
CHEM-SW.SHP	Chem. Spray SW
CHEM-W.SHP	Chem. Spray W
CHEMBALL.SHP	Chem Explosion
CHOOSE.WSA	ANIM: Side Selection Animation
CHRG226M.AUD	Charge
CIVDEAD1.AUD	Civilian Dead
CLEAR1.DES	Clear Terrain
CLEAR1.TEM	Clear Terrain
CLEAR1.WIN	Clear Terrain
CLICK_A.CPS	PICT: African Mouse Hotspots
CLICK_E.CPS	PICT: European Mouse Hotspots
CLICK_EB.CPS	PICT: Bosnian Mouse Hotspots
CLICK_SA.CPS	PICT: South African Mouse Hotspots
CLOCK.SHP	Time Dial
CLOCK1.AUD	???
CLOUDS.CPS	PICT: ???
CMON1.AUD	Commando Cmon
CMPTALK2.AUD
CMPTALK3.AUD
CMPTALK4.AUD
CMPTALK5.AUD
CMPTLK1.AUD	???
CMPTLK2.AUD	???
CMPTLK3.AUD	???
COMCNTR1.AUD	Communications Center
COMCNTR1.JUV	Communications Center
CONC.SHP	Concrete Tiles
CONQUER.ENG	English Ingame Strings
CONQUER.INF	INF: List For CONQUER.MIX
CONSTRU1.AUD	Construction Complete
CONSTRU2.AUD	Build Sounds
CONSTRU2.JUV	Build Sounds
CONSYARD.VQA	Construction Yard Unfolding
CONSYARD.VQP	Construction Yard Unfolding
COUNTER1.AUD	Counter
COUNTRY1.AUD	Country Sound 1
COUNTRY4.AUD	Country Sound 2
COUNTRYA.SHP	Map of each African Country
COUNTRYE.SHP	Map of each European Country
CR1.DES	Crater 1
CR1.TEM	Crater 1
CR1.WIN	Crater 1
CR2.DES	Crater 2
CR2.TEM	Crater 2
CR2.WIN	Crater 2
CR3.DES	Crater 3
CR3.TEM	Crater 3
CR3.WIN	Crater 3
CR4.DES	Crater 4
CR4.TEM	Crater 4
CR4.WIN	Crater 4
CR5.DES	Crater 5
CR5.TEM	Crater 5
CR5.WIN	Crater 5
CR6.DES	Crater 6
CR6.TEM	Crater 6
CR6.WIN	Crater 6
CRATE4.AUD
CRATE4.JUV
CREDITS.AUD	End Credits
CREDITS.TXT	Game Credits
CREDS.SHP	Score Screen Coins
CREP226M.AUD	Creep
CRUMBLE.AUD	Wall Crumbling
CRUMBLE.JUV	Wall Crumbling
CSHAPES.SHP	???
CTHANG.AUD	C&C Thang
CYCL.SHP	Chain Link Fence
CYCLICNH.DES	ICON: Chain Link Fence
CYCLICNH.TEM	ICON: Chain Link Fence
CYCLICNH.WIN	ICON: Chain Link Fence
CYCLICON.SHP	ICON: Chain Link Fence
D01.DES	Road Bottom End
D01.TEM	Road Bottom End
D01.WIN	Road Bottom End
D02.DES	Road Left End
D02.TEM	Road Left End
D02.WIN	Road Left End
D03.DES	Road Top End
D03.TEM	Road Top End
D03.WIN	Road Top End
D04.DES	Road Right End
D04.TEM	Road Right End
D04.WIN	Road Right End
D05.DES	Road S-N 1
D05.TEM	Road S-N 1
D05.WIN	Road S-N 1
D06.DES	Road S-N 2
D06.TEM	Road S-N 2
D06.WIN	Road S-N 2
D07.DES	Road S-N 3
D07.TEM	Road S-N 3
D07.WIN	Road S-N 3
D08.DES	Road S-N 4
D08.TEM	Road S-N 4
D08.WIN	Road S-N 4
D09.DES	Road W-E 1
D09.TEM	Road W-E 1
D09.WIN	Road W-E 1
D10.DES	Road W-E 2
D10.TEM	Road W-E 2
D10.WIN	Road W-E 2
D11.DES	Road W-E 3
D11.TEM	Road W-E 3
D11.WIN	Road W-E 3
D12.DES	Road W-E 4
D12.TEM	Road W-E 4
D12.WIN	Road W-E 4
D13.DES	Road WU-ED
D13.TEM	Road WU-ED
D13.WIN	Road WU-ED
D14.DES	Road T N--W+E
D14.TEM	Road T N--W+E
D14.WIN	Road T N--W+E
D15.DES	Road Y S--N+E 1
D15.TEM	Road Y S--N+E 1
D15.WIN	Road Y S--N+E 1
D16.DES	Road Y S--N+E 2
D16.TEM	Road Y S--N+E 2
D16.WIN	Road Y S--N+E
D17.DES	Road T S--W+E
D17.TEM	Road T S--W+E
D17.WIN	Road T S--W+E
D18.DES	Road T W--N+S
D18.TEM	Road T W--N+S
D18.WIN	Road T W--N+S
D19.DES	Road + W-N-E-S
D19.TEM	Road + W-N-E-S
D19.WIN	Road + W-N-E-S
D20.DES	Road Corner N-E
D20.TEM	Road Corner N-E
D20.WIN	Road Corner N-E
D21.DES	Road Corner S-E
D21.TEM	Road Corner S-E
D21.WIN	Road Corner S-E
D22.DES	Road Corner W-S
D22.TEM	Road Corner W-S
D22.WIN	Road Corner W-S
D23.DES	Road Corner W-N
D23.TEM	Road Corner W-N
D23.WIN	Road Corner W-N
D24.DES	Road Diagonal NW-SE 1
D24.TEM	Road Diagonal NW-SE 1
D24.WIN	Road Diagonal NW-SE 1
D25.DES	Road Diagonal NW-SE 2
D25.TEM	Road Diagonal NW-SE 2
D25.WIN	Road Diagonal NW-SE 2
D26.DES	Road Diagonal NW-SE Connector 1
D26.TEM	Road Diagonal NW-SE Connector 1
D26.WIN	Road Diagonal NW-SE Connector 1
D27.DES	Road Diagonal NW-SE Connector 2
D27.TEM	Road Diagonal NW-SE Connector 2
D27.WIN	Road Diagonal NW-SE Connector 2
D28.DES	Road Corner W-SE Connector
D28.TEM	Road Corner W-SE Connector
D28.WIN	Road Corner W-SE Connector
D29.DES	Road Corner N-SE Connector
D29.TEM	Road Corner N-SE Connector
D29.WIN	Road Corner N-SE Connector
D30.DES	Road Y SE--N+W Connector
D30.TEM	Road Y SE--N+W Connector
D30.WIN	Road Y SE--N+W Connector
D31.DES	Road Corner E-NW Connector
D31.TEM	Road Corner E-NW Connector
D31.WIN	Road Corner E-NW Connector
D32.DES	Road Corner S-NW Connector
D32.TEM	Road Corner S-NW Connector
D32.WIN	Road Corner S-NW Connector
D33.DES	Road Y NW--S+E Connector
D33.TEM	Road Y NW--S+E Connector
D33.WIN	Road Y NW--S+E Connector
D34.DES	Road Diagonal SW-NE 1
D34.TEM	Road Diagonal SW-NE 1
D34.WIN	Road Diagonal SW-NE 1
D35.DES	Road Diagonal SW-NE 2
D35.TEM	Road Diagonal SW-NE 2
D35.WIN	Road Diagonal SW-NE 2
D36.DES	Road Diagonal SW-NE Connector 1
D36.TEM	Road Diagonal SW-NE Connector 1
D36.WIN	Road Diagonal SW-NE Connector 1
D37.DES	Road Diagonal SW-NE Connector 2
D37.TEM	Road Diagonal SW-NE Connector 2
D37.WIN	Road Diagonal SW-NE Connector 2
D38.DES	Road Corner E-SW Connector
D38.TEM	Road Corner E-SW Connector
D38.WIN	Road Corner E-SW Connector
D39.DES	Road Corner N-SW Connector
D39.TEM	Road Corner N-SW Connector
D39.WIN	Road Corner N-SW Connector
D40.DES	Road Y SW--N+E Connector
D40.TEM	Road Y SW--N+E Connector
D40.WIN	Road Y SW--N+E Connector
D41.DES	Road Corner W-NE Connector
D41.TEM	Road Corner W-NE Connector
D41.WIN	Road Corner W-NE Connector
D42.DES	Road Corner S-NE Connector
D42.TEM	Road Corner S-NE Connector
D42.WIN	Road Corner S-NE Connector
D43.DES	Road Y NE--W+S Connector
D43.TEM	Road Y NE--W+S Connector
D43.WIN	Road Y NE--W+S Connector
DARK_A.PAL	PAL: ???
DARK_B.PAL	PAL: ???
DARK_E.PAL	PAL: ???
DARK_SA.PAL	PAL: ???
DCLOCK.MRF	???
DELPHI.SHP	Delphi
DEMOPIC.CPS	PICT: Buy C&C Now
DEPLOY1.AUD	Cannot Deploy Here
DESEICNH.INF	INF: List For DESEICNH.MIX
DESERT.INF	INF: List For DESERT.MIX
DESERT.PAL	PAL: Desert
DESFLEES.VQA	Guys Running Away From Tanks In The Desert
DESFLEES.VQP	Guys Running Away From Tanks In The Desert
DESKILL.VQA	Guy Killing Another Guy In The Desert
DESKILL.VQP	Guy Killing Another Guy In The Desert
DESOLAT.VQA	Deserted Village
DESOLAT.VQP	Deserted Village
DESSWEEP.VQA	Tanks Moving Into A Desert Town
DESSWEEP.VQP	Tanks Moving Into A Desert Town
DEVIATOR.SHP	CRAT: Air Strike
DGREEN.MRF	???
DIE.AUD	Die
DINO.VQA	Dino Movie
DINO.VQP	Dino Movie
DINOATK1.AUD	Dino Attack
DINODIE1.AUD	Dino Die
DINOMOUT.AUD	Dino Move Out
DINOYES.AUD	Dino Yes
DLIGHT.MRF	???
DMOUSE.MRF	???
DOLLAR.SHP	CRAT: Money
DRAGON.SHP	Missile
DRED.MRF	???
DRIL226M.AUD	Drill
DRON226M.AUD	Drone
DSHADE.MRF	???
DSHADOW.MRF	???
DTRANS.MRF	???
DUNITS.MRF	???
DWHITE.MRF	???
DYELLOW.MRF	???
E-BWTOCL.WSA	ANIM: Spinning Earth
E1.SHP	Minigunner
E1ICNH.DES	ICON: Minigunner
E1ICNH.TEM	ICON: Minigunner
E1ICNH.WIN	ICON: Minigunner
E1ICON.SHP	ICON: Minigunner
E1ROT.SHP	Minigunner Death
E2.SHP	Grenadier
E2ICNH.DES	ICON: Grenadier
E2ICNH.TEM	ICON: Grenadier
E2ICNH.WIN	ICON: Grenadier
E2ICON.SHP	ICON: Grenadier
E2ROT.SHP	Grenadier Death
E3.SHP	Rocket Soldier
E3ICNH.DES	ICON: Rocket Soldier
E3ICNH.TEM	ICON: Rocket Soldier
E3ICNH.WIN	ICON: Rocket Soldier
E3ICON.SHP	ICON: Rocket Soldier
E3ROT.SHP	Rocket Soldier Death
E4.SHP	Flamer
E4ICNH.DES	ICON: Flamer
E4ICNH.TEM	ICON: Flamer
E4ICNH.WIN	ICON: Flamer
E4ICON.SHP	ICON: Flamer
E4ROT.SHP	Flamer Death
E5.SHP	Chem Warrior
E5ICNH.DES	ICON: Chem Warrior
E5ICNH.TEM	ICON: Chem Warrior
E5ICNH.WIN	ICON: Chem Warrior
E5ICON.SHP	ICON: Chem Warrior
E6.SHP	Engineer
E6ICNH.DES	ICON: Engineer
E6ICNH.TEM	ICON: Engineer
E6ICNH.WIN	ICON: Engineer
E6ICON.SHP	ICON: Engineer
EARTH.SHP	CRAT: Reveal Map
EARTH_A.WSA	ANIM: Zoom on Africa
EARTH_E.WSA	ANIM: Zoom on Europe
EBTN-DN.SHP	BUTT: Down
EBTN-UP.SHP	BUTT: Up
EINIT1.AUD	???
EMPULSE.SHP	CRAT: Hide Map
ENEMYA.AUD	Enemy Planes Approaching
ENMYAPP1.AUD	Enemy Approaching
ENMYUNIT.AUD	Enemy Units Approching
ESTRUCX.AUD	Enemy Structure Destroyed
ETHANKS.AUD	Thanks
EUROPE.WSA	ANIM: European Mission selection
EVA.WSA	ANIM: EVA Logo
EVA1.AUD	EVA 1
EVA10.AUD	EVA 10
EVA11.AUD	EVA 11
EVA12.AUD	EVA 12
EVA13.AUD	EVA 13
EVA14.AUD	EVA 14
EVA15.AUD	EVA 15
EVA16.AUD	EVA 16
EVA17.AUD	EVA 17
EVA2.AUD	EVA 2
EVA3.AUD	EVA 3
EVA4.AUD	EVA 4
EVA5.AUD	EVA 5
EVA6.AUD	EVA 6
EVA7.AUD	EVA 7
EVA8.AUD	EVA 8
EVA9.AUD	EVA 9
EXIT.CPS	PICT: ???
EXIT.WSA	ANIM: Installation Complete
EXPAND.DAT	Empty File
EYE.SHP	Advanced Comm. Center
EYEICNH.DES	ICON: Advanced Comm. Center
EYEICNH.TEM	ICON: Advanced Comm. Center
EYEICNH.WIN	ICON: Advanced Comm. Center
EYEICON.SHP	ICON: Advanced Comm. Center
EYEMAKE.SHP	MAKE: Advanced Comm. Center
FACT.SHP	Construction Yard
FACTICON.SHP	ICON: Construction Yard
FACTMAKE.SHP	MAKE: MCV => Construction Yard
FAIL1.AUD	Mission Failed
FALLS1.DES	Waterfall East-West
FALLS1.TEM	Waterfall East-West
FALLS1.WIN	Waterfall East-West
FALLS2.DES	Waterfall North-South
FALLS2.TEM	Waterfall North-South
FALLS2.WIN	Waterfall North-South
FBALL1.SHP	Large Explosion
FINISH1.AUD
FIRE1.SHP	Large Fire
FIRE2.SHP	Medium Fire
FIRE3.SHP	Small Fire
FIRE4.SHP	Very Small Fire
FIST226M.AUD	Fist
FIX.SHP	Service Depot
FIXICNH.DES	ICON: Service Depot
FIXICNH.TEM	ICON: Service Depot
FIXICNH.WIN	ICON: Service Depot
FIXICON.SHP	ICON: Service Depot
FIXMAKE.SHP	MAKE: Service Depot
FLAG.VQA	Flag Being Raised
FLAG.VQP	Flag Being Raised
FLAGFLY.SHP	Flag
FLAME-E.SHP	Single Flame E
FLAME-N.SHP	Single Flame N
FLAME-NE.SHP	Single Flame NE
FLAME-NW.SHP	Single Flame NW
FLAME-S.SHP	Single Flame S
FLAME-SE.SHP	Single Flame SE
FLAME-SW.SHP	Single Flame SW
FLAME-W.SHP	Single Flame W
FLAMER2.AUD	Flame Sound
FLAMER2.JUV	Flame Sound
FLMSPT.SHP	Oil Pump explosion
FLYY.VQA	Apache Shooting APC
FLYY.VQP	Apache Shooting APC
FONT6.FNT	Font 6
FORD1.DES	Fjord W-E
FORD1.TEM	Fjord W-E
FORD1.WIN	Fjord W-E
FORD2.DES	Fjord N-S
FORD2.TEM	Fjord N-S
FORD2.WIN	Fjord N-S
FORESTKL.VQA	Guy Killing Another Guy In The Forest
FORESTKL.VQP	Guy Killing Another Guy In The Forest
FPLS.SHP	Circles For Flag
FRAG1.SHP	Medium explosion
FRAG3.SHP	Medium explosion
FTNK.SHP	Flame tank
FTNKICNH.DES	ICON: Flame Tank
FTNKICNH.TEM	ICON: Flame Tank
FTNKICNH.WIN	ICON: Flame Tank
FTNKICON.SHP	ICON: Flame Tank
FWP.AUD	Fight Win Prevail
GAMEOVER.VQA	Tanks Going Onto Plane Tank Store Being Locked Up
GAMEOVER.VQP	Tanks Going Onto Plane Tank Store Being Locked Up
GDI1.VQA	Capture The Beachead
GDI1.VQP	Capture The Beachead
GDI10.VQA	Play With The Orcas
GDI10.VQP	Play With The Orcas
GDI11.VQA	Find Delphi
GDI11.VQP	Find Delphi
GDI12.VQA	Get Mobius
GDI12.VQP	Get Mobius
GDI13.VQA	Destroy Bio Lab
GDI13.VQP	Destroy Bio Lab
GDI14.VQA	Destroy Nod Forces
GDI14.VQP	Destroy Nod Forces
GDI15.VQA	Destroy Nod Base
GDI15.VQP	Destroy Nod Base
GDI2.VQA	Destroy Nod Refinery
GDI2.VQP	Destroy Nod Refinery
GDI3.VQA	Destroy Sam Sites
GDI3.VQP	Destroy Sam Sites
GDI3LOSE.VQA	Apache Blowing Up Tank
GDI3LOSE.VQP	Apache Blowing Up Tank
GDI4A.VQA	Capture The Village
GDI4A.VQP	Capture The Village
GDI4B.VQA	Recapture The Convoy
GDI4B.VQP	Recapture The Convoy
GDI5.VQA	Repair GDI Base
GDI5.VQP	Repair GDI Base
GDI6.VQA	Destroy Nod Base
GDI6.VQP	Destroy Nod Base
GDI7.VQA	Finish Nod Base
GDI7.VQP	Finish Nod Base
GDI8A.VQA	Repair GDI Equipment
GDI8A.VQP	Repair GDI Equipment
GDI8B.VQA	Protect Mobieus
GDI8B.VQP	Protect Mobieus
GDI9.VQA	Destroy Bunkers
GDI9.VQP	Destroy Bunkers
GDI_SLCT.AUD	G. D. I. selected
GDICAPT1.AUD	GDI Building Captured
GDIDEAD1.AUD	GDI Unit Destroyed
GDIEND1.VQA	GDI End No Ion Cannon
GDIEND1.VQP	GDI End No Ion Cannon
GDIEND2.VQA	GDI End With Ion Cannon
GDIEND2.VQP	GDI End With Ion Cannon
GDIFINA.VQA	Missiles Shoot Temple
GDIFINA.VQP	Missiles Shoot Temple
GDIFINB.VQA	Temple Is Ion Cannoned
GDIFINB.VQP	Temple Is Ion Cannoned
GDIGEN.INF	INF: List For GDI GENERAL.MIX
GDILOSE.VQA	GDI Logo Being Turned Into Nod Logo
GDILOSE.VQP	GDI Logo Being Turned Into Nod Logo
GDIMOV.INF	INF: List For GDI MOVIES.MIX
GENERIC.VQA	Kane Ordering Nod To Look For Dinos
GENERIC.VQP	Kane Ordering Nod To Look For Dinos
GIRLOKAY.AUD	Girl Ok
GIRLYEAH.AUD	Girl Ya?
GOTIT1.AUD	Commando You Got It
GRAD12FN.FNT	Grad 12 Font
GRAD6FNT.FNT	Grad 6 Font
GREYERTH.WSA	ANIM: Spinning Earth
GSTRUC1.AUD	GDI Structure Destroyed
GTWR.SHP	Guard Tower
GTWRICNH.DES	ICON: Guard Tower
GTWRICNH.TEM	ICON: Guard Tower
GTWRICNH.WIN	ICON: Guard Tower
GTWRICON.SHP	ICON: Guard Tower
GTWRMAKE.SHP	MAKE: Guard Tower
GUN.SHP	Turret
GUN18.AUD	Gunshot
GUN18.JUV	Gunshot
GUN19.AUD	Gunshot
GUN19.JUV	Gunshot
GUN20.AUD	Gunshot
GUN20.JUV	Gunshot
GUN5.AUD	Pistol 2
GUN5.JUV	Pistol 2
GUN8.AUD	Gunshot
GUN8.JUV	Gunshot
GUNBOAT.VQA	Gunboat Blowing Up Turret
GUNBOAT.VQP	Gunboat Blowing Up Turret
GUNCLIP1.AUD	Gun Clip
GUNCLIP1.JUV	Gun Clip
GUNFIRE.SHP	Gunfire
GUNICNH.DES	ICON: Turret
GUNICNH.TEM	ICON: Turret
GUNICNH.WIN	ICON: Turret
GUNICON.SHP	ICON: Turret
GUNMAKE.SHP	MAKE: Turret
GUYOKAY1.AUD	Guy Ok
GUYYEAH1.AUD	Guy Ya?
HAND.SHP	Hand of Nod
HANDICNH.DES	ICON: Hand of Nod
HANDICNH.TEM	ICON: Hand of Nod
HANDICNH.WIN	ICON: Hand of Nod
HANDICON.SHP	ICON: Hand of Nod
HANDMAKE.SHP	MAKE: Hand of Nod
HARV.SHP	Harvester
HARVICNH.DES	ICON: Harvester
HARVICNH.TEM	ICON: Harvester
HARVICNH.WIN	ICON: Harvester
HARVICON.SHP	ICON: Harvester
HBOSNIA.WSA	ANIM: Zoom on Bosnia
HBTN-DN.SHP	BUTT: Down
HBTN-DN2.SHP	BUTT: Down
HBTN-UP.SHP	BUTT: Up
HBTN-UP2.SHP	BUTT: Up
HCLOCK.SHP	Time Dial
HEART.VAR	Heartbreak SFX
HEARTH_A.WSA	ANIM: Zoom on Africa
HEARTH_E.WSA	ANIM: Zoom on Europe
HEAVYG.AUD	Demolition
HELI.SHP	Apache Helicopter
HELIDOWN.AUD
HELIDOWN.JUV
HELIICNH.DES	ICON: Apache Helicopter
